plotId,external_id,Area,Geometry_type,Country,ProducerCountry,Admin_Level_1,Centroid_lon,Centroid_lat,Unit,In_waterbody,EUFO_2020,GLAD_Primary,TMF_undist,JAXA_FNF_2020,GFC_TC_2020,Forest_FDaP,ESA_TC_2020,TMF_plant,Oil_palm_Descals,Oil_palm_FDaP,Cocoa_FDaP,Cocoa_ETH,Cocoa_bnetd,Rubber_FDaP,Rubber_RBGE,Soy_Song_2020,TMF_def_2000,TMF_def_2001,TMF_def_2002,TMF_def_2003,TMF_def_2004,TMF_def_2005,TMF_def_2006,TMF_def_2007,TMF_def_2008,TMF_def_2009,TMF_def_2010,TMF_def_2011,TMF_def_2012,TMF_def_2013,TMF_def_2014,TMF_def_2015,TMF_def_2016,TMF_def_2017,TMF_def_2018,TMF_def_2019,TMF_def_2020,TMF_def_2021,TMF_def_2022,TMF_def_2023,TMF_deg_2000,TMF_deg_2001,TMF_deg_2002,TMF_deg_2003,TMF_deg_2004,TMF_deg_2005,TMF_deg_2006,TMF_deg_2007,TMF_deg_2008,TMF_deg_2009,TMF_deg_2010,TMF_deg_2011,TMF_deg_2012,TMF_deg_2013,TMF_deg_2014,TMF_deg_2015,TMF_deg_2016,TMF_deg_2017,TMF_deg_2018,TMF_deg_2019,TMF_deg_2020,TMF_deg_2021,TMF_deg_2022,TMF_deg_2023,GFC_loss_year_2001,GFC_loss_year_2002,GFC_loss_year_2003,GFC_loss_year_2004,GFC_loss_year_2005,GFC_loss_year_2006,GFC_loss_year_2007,GFC_loss_year_2008,GFC_loss_year_2009,GFC_loss_year_2010,GFC_loss_year_2011,GFC_loss_year_2012,GFC_loss_year_2013,GFC_loss_year_2014,GFC_loss_year_2015,GFC_loss_year_2016,GFC_loss_year_2017,GFC_loss_year_2018,GFC_loss_year_2019,GFC_loss_year_2020,GFC_loss_year_2021,GFC_loss_year_2022,GFC_loss_year_2023,RADD_year_2019,RADD_year_2020,RADD_year_2021,RADD_year_2022,RADD_year_2023,RADD_year_2024,RADD_year_2025,ESA_fire_2001,ESA_fire_2002,ESA_fire_2003,ESA_fire_2004,ESA_fire_2005,ESA_fire_2006,ESA_fire_2007,ESA_fire_2008,ESA_fire_2009,ESA_fire_2010,ESA_fire_2011,ESA_fire_2012,ESA_fire_2013,ESA_fire_2014,ESA_fire_2015,ESA_fire_2016,ESA_fire_2017,ESA_fire_2018,ESA_fire_2019,ESA_fire_2020,MODIS_fire_2000,MODIS_fire_2001,MODIS_fire_2002,MODIS_fire_2003,MODIS_fire_2004,MODIS_fire_2005,MODIS_fire_2006,MODIS_fire_2007,MODIS_fire_2008,MODIS_fire_2009,MODIS_fire_2010,MODIS_fire_2011,MODIS_fire_2012,MODIS_fire_2013,MODIS_fire_2014,MODIS_fire_2015,MODIS_fire_2016,MODIS_fire_2017,MODIS_fire_2018,MODIS_fire_2019,MODIS_fire_2020,MODIS_fire_2021,MODIS_fire_2022,MODIS_fire_2023,MODIS_fire_2024,MODIS_fire_2025,TMF_deg_before_2020,TMF_def_before_2020,GFC_loss_before_2020,ESA_fire_before_2020,MODIS_fire_before_2020,RADD_before_2020,TMF_deg_after_2020,TMF_def_after_2020,GFC_loss_after_2020,MODIS_fire_after_2020,RADD_after_2020,DIST_after_2020,GFT_primary,IFL_2020,European_Primary_Forest,GFT_naturally_regenerating,GFT_planted_plantation,IIASA_planted_plantation,TMF_regrowth_2023,ESRI_2023_TC,GLC_FCS30D_TC_2022,Oil_palm_2023_FDaP,Rubber_2023_FDaP,Cocoa_2023_FDaP,ESRI_2023_crop,GLC_FCS30D_crop_2022,GFW_logging,geo,Ind_01_treecover,Ind_02_commodities,Ind_03_disturbance_before_2020,Ind_04_disturbance_after_2020,Ind_05_primary_2020,Ind_06_nat_reg_forest_2020,Ind_07_planted_plantations_2020,Ind_08_planted_plantations_post_2020,Ind_09_treecover_post_2020,Ind_10_agri_post_2020,Ind_11_logging_concession,risk_pcrop,risk_acrop,risk_timber
1,,1.939,Polygon,GHA,GH,Ashanti Region,-1.6119419952259373,6.159539574278987,ha,False,0.0,0.0,0.0,1.939,0.387,0.49,1.939,0.0,0.0,1.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.04,0.212,0.065,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0.0,0.951,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.637,0.511,1.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.363,0.0,0.0,0.803,1.939,1.939,1.834,0.0,0.0,0.0,0.0,,"{'type': 'Polygon', 'coordinates': [[[-1.6128339999992942, 6.1591419999958275], [-1.6120770000040598, 6.158870000000281], [-1.6117720000012925, 6.158837999997634], [-1.611181000001821, 6.159483999997163], [-1.6112240000008857, 6.160011999995916], [-1.611739000003055, 6.160300000001769], [-1.6121739999986076, 6.160145000002424], [-1.6128119999974746, 6.159344999999142], [-1.6128339999992942, 6.1591419999958275]]]}",yes,yes,yes,no,no,yes,no,no,yes,yes,no,low,low,low
2,,4.152,Polygon,GHA,GH,Ashanti Region,-1.6447324753175234,6.104735332799037,ha,False,0.361,0.0,0.0,4.129,1.428,0.837,3.846,0.0,0.0,0.217,0.01,0.01,0.0,0.0,0.0,0.0,0.1,0.051,0.521,0.639,0.0,0.024,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.284,0.146,0.089,0.937,0.0,0.089,0.0,0.146,0.445,0.094,0.608,0.0,0.082,0.0,0.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.356,0.089,1.114,0.297,0.112,0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.971,2.88,2.724,0.0,0.0,0.0,0.0,0.089,0.743,0.0,0.0,,0.0,0.0,0.0,0.785,0.0,0.0,0.017,4.152,4.063,0.042,0.0,0.003,0.0,0.089,,"{'type': 'Polygon', 'coordinates': [[[-1.646157999997542, 6.105181000002078], [-1.646108999997981, 6.104568000000787], [-1.645760999996149, 6.1045029999999025], [-1.6459049999990756, 6.104060999999279], [-1.645309999999273, 6.104093000001926], [-1.6441509999977406, 6.103645000000807], [-1.643378999996774, 6.1051859999980005], [-1.6436359999955714, 6.105788999998464], [-1.6441939999968054, 6.105756999995817], [-1.644295999996258, 6.105250000003293], [-1.6444840000028236, 6.104749000002282], [-1.6451109999962894, 6.105191999998496], [-1.6451599999958504, 6.10552199999884], [-1.6457439999992347, 6.105442000001206], [-1.646157999997542, 6.105181000002078]]]}",yes,no,yes,yes,no,yes,no,no,yes,no,no,low,high,low
3,,16.6,Polygon,GHA,GH,Western Region,-2.1571435601632793,5.981148900637887,ha,False,16.6,14.491,15.862,16.6,16.6,16.6,16.6,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.178,0.089,0.0,0.0,0.401,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.491,0.069,0.08,0.569,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.738,0.0,0.0,0.0,0.0,1.11,0.089,0.0,0.0,0.0,1.279,,0.0,0.0,0.0,16.6,0.0,0.0,0.0,16.6,16.511,0.661,0.0,0.0,0.0,0.089,,"{'type': 'Polygon', 'coordinates': [[[-2.1595160000006564, 5.979230999996803], [-2.1557180000009515, 5.979641000003763], [-2.154387999998751, 5.983028999996508], [-2.1590330000011337, 5.982474000000014], [-2.1595160000006564, 5.979230999996803]]]}",yes,no,no,no,yes,yes,no,no,yes,no,no,more_info_needed,more_info_needed,low
4,,31.213,Polygon,IDN,ID,South Sumatra,103.95609577079756,-3.0546676189238666,ha,False,0.0,0.0,0.0,1.719,0.176,0.0,29.09,31.213,30.86,21.862,0.0,0.0,0.0,0.026,0.0,0.0,0.179,2.321,0.0,0.0,0.0,0.0,19.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.443,0.271,0.0,0.0,0.0,0.0,2.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.218,31.022,31.213,6.403,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.293,0.0,6.332,27.767,26.664,2.145,0.0,24.882,3.356,,"{'type': 'Polygon', 'coordinates': [[[103.95143499999932, -3.0560110000032092], [103.96061900000431, -3.0560959999967645], [103.96061900000431, -3.053224999997371], [103.95149899999564, -3.053332000001729], [103.95143499999932, -3.0560110000032092]]]}",yes,yes,yes,no,no,yes,no,no,yes,yes,no,low,low,low
5,,1.964,Polygon,IDN,ID,South Sumatra,103.97037141003977,-3.0688307035962517,ha,False,0.0,0.0,0.0,1.69,0.014,0.0,1.944,0.0,0.0,0.0,0.0,0.0,0.0,0.661,0.0,0.0,0.112,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,1.757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.055,0.0,0.0,0.0,0.0,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.954,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.09,0.316,1.934,0.686,0.0,1.626,0.0,0.0,1.278,,"{'type': 'Polygon', 'coordinates': [[[103.96944299999748, -3.0691129999998545], [103.97100399999633, -3.069471999998105], [103.97136900000406, -3.068571999995535], [103.96965299999688, -3.0681920000000398], [103.96944299999748, -3.0691129999998545]]]}",yes,yes,yes,no,no,yes,yes,no,yes,yes,no,low,low,low
6,,12.725,Polygon,IDN,ID,South Sumatra,103.97518193266538,-3.0829219070479663,ha,False,7.999,0.0,7.558,12.725,10.545,9.917,12.725,0.0,0.0,0.206,0.0,0.0,0.0,0.593,0.0,0.0,0.0,0.0,0.0,0.907,0.0,0.0,0.0,0.0,0.022,0.0,0.268,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.0,0.0,0.0,0.462,0.0,0.179,0.089,0.062,0.211,0.179,0.566,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.442,0.019,0.0,0.0,0.0,0.0,0.683,0.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,1.453,1.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,7.984,0.0,0.019,1.431,12.725,12.152,0.204,0.05,0.0,0.0,0.573,,"{'type': 'Polygon', 'coordinates': [[[103.9731819999968, -3.0821999999997507], [103.97347200000281, -3.0839780000030705], [103.97451300000357, -3.08448699999576], [103.97634700000255, -3.0845029999970834], [103.97713600000043, -3.083367999997536], [103.97708799999646, -3.0820980000002978], [103.97574099999734, -3.081305000002086], [103.97411600000218, -3.0813959999961376], [103.9731819999968, -3.0821999999997507]]]}",yes,no,yes,no,yes,yes,no,no,yes,no,no,low,more_info_needed,low
7,,20.882,Polygon,IDN,ID,South Sumatra,103.97751194325912,-3.083807754540335,ha,False,6.016,0.0,5.569,20.097,11.238,7.346,20.852,0.0,0.0,0.321,0.0,0.0,0.0,2.445,0.0,0.0,0.0,0.089,0.0,1.875,1.263,0.245,0.089,0.0,0.0,0.085,0.274,0.536,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.179,0.0,0.0,1.25,0.0,0.089,0.0,0.089,0.164,0.346,1.512,0.429,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.0,0.0,1.319,1.289,0.531,0.0,0.0,0.0,3.008,1.78,0.0,0.0,0.0,1.041,0.0,0.0,0.045,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.253,4.546,9.043,0.0,0.0,0.0,0.714,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,5.84,0.0,3.228,4.897,20.882,20.12,0.118,0.238,0.0,0.0,0.762,,"{'type': 'Polygon', 'coordinates': [[[103.9749960000031, -3.082752000000488], [103.97641200000342, -3.0864580000015676], [103.97767800000034, -3.0862870000008993], [103.97993100000251, -3.0848300000016704], [103.97937300000129, -3.082515999998936], [103.97789200000007, -3.081016000000642], [103.9749960000031, -3.082752000000488]]]}",yes,yes,yes,no,yes,yes,yes,no,yes,no,no,low,low,low
8,,8.279,Polygon,CIV,CI,Lagunes,-4.1016461529645305,5.711934574136514,ha,False,0.404,0.001,0.006,7.834,5.085,1.388,6.402,0.0,0.0,0.042,0.376,0.0,3.013,0.132,0.0,0.0,0.222,0.481,0.178,0.0,0.0,0.089,0.089,0.0,0.0,0.336,0.0,0.178,0.0,0.178,0.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201,0.987,0.462,0.0,0.0,0.0,0.089,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.037,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745,0.277,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.0,0.012,0.0,0.089,0.579,0.0,0.208,0.0,0.904,0.232,0.0,0.089,0.0,1.513,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.795,2.535,3.194,0.0,0.0,0.0,0.0,0.0,1.602,0.0,0.001,,0.0,0.0,0.0,0.446,0.0,0.0,3.282,6.147,8.279,0.089,1.175,0.072,0.0,0.0,,"{'type': 'Polygon', 'coordinates': [[[-4.102888999997095, 5.713707000000335], [-4.10243899999581, 5.710174000000089], [-4.101484000002166, 5.710206000002736], [-4.101087000000773, 5.710665000000273], [-4.100604000001251, 5.710343999996183], [-4.1003679999996985, 5.71165799999706], [-4.10052899999954, 5.712810999998096], [-4.101484000002166, 5.71352599999884], [-4.102888999997095, 5.713707000000335]]]}",yes,yes,yes,yes,no,yes,no,no,yes,yes,no,low,low,low
9,,1.981,Polygon,CIV,CI,Lagunes,-4.086848277820016,5.673810500303899,ha,False,0.0,0.0,0.0,1.396,1.546,0.878,1.729,0.0,0.0,0.015,0.011,1.494,0.006,0.001,0.0,0.0,0.072,0.137,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.103,0.053,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.085,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803,0.924,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.652,0.0,0.0,0.715,1.981,1.981,0.11,0.032,0.276,0.0,0.0,,"{'type': 'Polygon', 'coordinates': [[[-4.08767600000103, 5.672712000000966], [-4.087289999996056, 5.67259400000019], [-4.087091000002055, 5.673213999997569], [-4.086683000004244, 5.673182000003905], [-4.085938000001019, 5.674558999996518], [-4.0869569999999555, 5.674729999997186], [-4.08767600000103, 5.672712000000966]]]}",yes,yes,yes,no,no,yes,no,no,yes,yes,no,low,low,low
